▶️央视频道,#genre#
CCTV13,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=243
CCTV13,http://106.115.25.148:9999/tsfile/live/0013_1.m3u8
CCTV14,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=303
CCTV14,http://106.115.25.148:9999/tsfile/live/0014_1.m3u8
CCTV15,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=294
CCTV15,http://106.115.25.148:9999/tsfile/live/0015_1.m3u8


▶️央视频道(酒店源)：
CCTV1,http://59.62.8.250:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://59.62.8.250:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.62.8.250:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.62.8.250:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://59.62.8.250:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://59.62.8.250:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://59.62.8.250:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://59.62.8.250:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://59.62.8.250:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://59.62.8.250:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://59.62.8.250:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://59.62.8.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://59.62.8.250:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://59.62.8.250:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://59.62.8.250:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0


西夏：
CCTV1,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV2,http://183.92.4.163:4000/udp/228.0.0.2:6108
CCTV3,http://183.92.4.163:4000/udp/228.0.0.156:7156
CCTV4,http://183.92.4.163:4000/udp/228.0.0.143:7143
CCTV5,http://183.92.4.163:4000/udp/228.0.0.112:6108
CCTV6,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV7,http://183.92.4.163:4000/udp/228.0.0.7:6108
CCTV8,http://183.92.4.163:4000/udp/228.0.0.158:7158
CCTV9,http://183.92.4.163:4000/udp/228.0.0.9:6108
CCTV10,http://183.92.4.163:4000/udp/228.0.0.10:6108
CCTV11,http://183.92.4.163:4000/udp/228.0.0.242:6108
CCTV12,http://183.92.4.163:4000/udp/228.0.0.12:6108
CCTV13,http://183.92.4.163:4000/udp/228.0.0.202:6108
CCTV14,http://183.92.4.163:4000/udp/228.0.0.14:6108
CCTV15,http://183.92.4.163:4000/udp/228.0.0.15:6108
CCTV16,http://183.92.4.163:4000/udp/228.0.0.249:6108
CCTV17,http://183.92.4.163:4000/udp/228.0.0.161:7161



卫视频道,#genre#
卫视频道(IPV4)：
浙江卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=220
浙江卫视,http://106.115.25.148:9999/tsfile/live/1017_1.m3u8
东方卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=223
东方卫视,http://106.115.25.148:9999/tsfile/live/1016_1.m3u8
辽宁卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=234
辽宁卫视,http://106.115.25.148:9999/tsfile/live/0121_1.m3u8
北京卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=212
北京卫视,http://106.115.25.148:9999/tsfile/live/1011_1.m3u8
贵州卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=245
贵州卫视,http://106.115.25.148:9999/tsfile/live/0120_1.m3u8
重庆卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=249
重庆卫视,http://106.115.25.148:9999/tsfile/live/0142_1.m3u8
云南卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=250
云南卫视,http://106.115.25.148:9999/tsfile/live/0119_1.m3u8
海南卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=251
海南卫视,http://219.159.194.141:8181/tsfile/live/0114_1.m3u8
安徽卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=298
安徽卫视,http://106.115.25.148:9999/tsfile/live/0130_1.m3u8
江西卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=315
江西卫视,http://106.115.25.148:9999/tsfile/live/0138_1.m3u8
吉林卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=317
吉林卫视,http://106.115.25.148:9999/tsfile/live/0116_1.m3u8
天津卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=319
天津卫视,http://106.115.25.148:9999/tsfile/live/1018_1.m3u8
广西卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=321
广西卫视,http://106.115.25.148:9999/tsfile/live/0113_1.m3u8
四川卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=322
四川卫视,http://106.115.25.148:9999/tsfile/live/0123_1.m3u8
湖北卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=255
湖北卫视,http://106.115.25.148:9999/tsfile/live/0132_1.m3u8
陕西卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=268
陕西卫视,http://106.115.25.148:9999/tsfile/live/0136_1.m3u8
江苏卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=289
江苏卫视,http://106.115.25.148:9999/tsfile/live/1015_1.m3u8
东南卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=304
东南卫视,http://106.115.25.148:9999/tsfile/live/0137_1.m3u8
黑龙江卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=351
黑龙江卫视,http://106.115.25.148:9999/tsfile/live/1013_1.m3u8
广东卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=352
广东卫视,http://106.115.25.148:9999/tsfile/live/0125_1.m3u8
山东卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=286
山东卫视,http://106.115.25.148:9999/tsfile/live/0131_1.m3u8
湖南卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=295
湖南卫视,http://106.115.25.148:9999/tsfile/live/1012_1.m3u8
河北卫视,http://106.115.25.148:9999/tsfile/live/0117_1.m3u8
深圳卫视,http://106.115.25.148:9999/tsfile/live/1014_1.m3u8
河南卫视,http://106.115.25.148:9999/tsfile/live/0139_1.m3u8
山西卫视,http://106.115.25.148:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.25.148:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.25.148:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.25.148:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.25.148:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://106.115.25.148:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://106.115.25.148:9999/tsfile/live/0141_1.m3u8


央视频道(酒店源)：
吉林卫视,http://59.62.8.250:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://59.62.8.250:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://59.62.8.250:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0


西夏：
湖北卫视,http://183.92.4.163:4000/udp/228.0.0.60:6108
湖北卫视,http://183.92.4.163:4000/udp/228.0.0.232:6108
湖南卫视,http://183.92.4.163:4000/udp/228.0.0.61:6108
浙江卫视,http://183.92.4.163:4000/udp/228.0.0.65:6108
江苏卫视,http://183.92.4.163:4000/udp/228.0.0.64:6108
东方卫视,http://183.92.4.163:4000/udp/228.0.0.62:6108
北京卫视,http://183.92.4.163:4000/udp/228.0.0.63:6108
广东卫视,http://183.92.4.163:4000/udp/228.0.0.66:6108
深圳卫视,http://183.92.4.163:4000/udp/228.0.0.67:6108
黑龙江卫视,http://183.92.4.163:4000/udp/228.0.0.68:6108
天津卫视,http://183.92.4.163:4000/udp/228.0.0.120:6108
山东卫视,http://183.92.4.163:4000/udp/228.0.0.121:6108
安徽卫视,http://183.92.4.163:4000/udp/228.0.0.122:6108
辽宁卫视,http://183.92.4.163:4000/udp/228.0.0.123:6108
东南卫视,http://183.92.4.163:4000/udp/228.0.0.144:7144
江西卫视,http://183.92.4.163:4000/udp/228.0.0.147:7147
重庆卫视,http://183.92.4.163:4000/udp/228.0.0.159:7159
贵州卫视,http://183.92.4.163:4000/udp/228.0.0.160:7160
宁夏卫视,http://183.92.4.163:4000/udp/228.0.0.30:6108
广西卫视,http://183.92.4.163:4000/udp/228.0.0.37:6108
海南卫视,http://183.92.4.163:4000/udp/228.0.0.165:7165
河南卫视,http://183.92.4.163:4000/udp/228.0.0.230:6108
四川卫视,http://183.92.4.163:4000/udp/228.0.0.231:6108
吉林卫视,http://183.92.4.163:4000/udp/228.0.0.45:6108
山西卫视,http://183.92.4.163:4000/udp/228.0.0.47:6108
云南卫视,http://183.92.4.163:4000/udp/228.0.0.48:6108
西藏卫视,http://183.92.4.163:4000/udp/228.0.0.51:6108
内蒙古卫视,http://183.92.4.163:4000/udp/228.0.0.52:6108
新疆卫视,http://183.92.4.163:4000/udp/228.0.0.53:6108
青海卫视,http://183.92.4.163:4000/udp/228.0.0.54:6108
河北卫视,http://183.92.4.163:4000/udp/228.0.0.168:7168
陕西卫视,http://183.92.4.163:4000/udp/228.0.0.56:6108
吉林卫视,http://183.92.4.163:4000/udp/228.0.0.45:6108
山西卫视,http://183.92.4.163:4000/udp/228.0.0.47:6108
云南卫视,http://183.92.4.163:4000/udp/228.0.0.48:6108
西藏卫视,http://183.92.4.163:4000/udp/228.0.0.51:6108
内蒙古卫视,http://183.92.4.163:4000/udp/228.0.0.52:6108
新疆卫视,http://183.92.4.163:4000/udp/228.0.0.53:6108
青海卫视,http://183.92.4.163:4000/udp/228.0.0.54:6108
河北卫视,http://183.92.4.163:4000/udp/228.0.0.168:7168
陕西卫视,http://183.92.4.163:4000/udp/228.0.0.56:6108
甘肃卫视,http://183.92.4.163:4000/udp/228.0.0.57:6108
三沙卫视,http://183.92.4.163:4000/udp/228.0.0.174:7174
CHC家庭影院,http://183.92.4.163:4000/udp/228.0.0.211:6108
CHC动作电影,http://183.92.4.163:4000/udp/228.0.0.212:6108
CHC高清电影,http://183.92.4.163:4000/udp/228.0.0.233:6108

🎬电影轮播,#genre#
喜剧,http://124.248.69.76:35455/douyu/10298856
喜剧,https://live.metshop.top/douyu/10298856
贺岁档电影,http://124.248.69.76:35455/huya/11601986
贺岁档电影,https://live.metshop.top/huya/11601986
贺岁档电影,https://www.goodiptv.club/huya/11601986
贺岁档电影,http://159.75.85.63:35455/huya/11601986
香港电影,http://124.248.69.76:35455/douyu/315457
香港电影,https://live.metshop.top/douyu/315457
华语经典,http://124.248.69.76:35455/douyu/85894
华语经典,https://live.metshop.top/douyu/85894
蓝光电影,http://124.248.69.76:35455/douyu/747764
蓝光电影,https://live.metshop.top/douyu/747764
沈腾,http://124.248.69.76:35455/huya/11601968
沈腾,https://live.metshop.top/huya/11601968
沈腾,https://www.goodiptv.club/huya/11601968
沈腾,http://43.138.170.29:35455/huya/11601968
周星驰,http://124.248.69.76:35455/yy/1382736808
周星驰,https://live.metshop.top/yy/1382736808
周星驰,https://live.metshop.top/douyu/122402
漫威电影,http://124.248.69.76:35455/yy/1354932402
漫威电影,https://live.metshop.top/yy/1354932402
漫威电影,https://live.metshop.top/douyu/6140589
国语译制,http://124.248.69.76:35455/douyu/2436390
国语译制,https://live.metshop.top/douyu/2436390
国语译制,http://43.138.170.29:35455/douyu/2436390

🎬综艺轮播,#genre#
陈翔六点半,http://124.248.69.76:35455/huya/11274154
陈翔六点半,https://live.metshop.top/huya/11274154
陈翔六点半,https://www.goodiptv.club/huya/11274154
吐槽大会,http://124.248.69.76:35455/douyu/9236042
吐槽大会,https://live.metshop.top/douyu/9236042
吐槽大会,http://43.138.170.29:35455/huya/11352875
吐槽大会,http://43.138.170.29:35455/douyu/9236042
奔跑吧兄弟,http://124.248.69.76:35455/huya/29465870
奔跑吧兄弟,https://www.goodiptv.club/huya/29465870
奔跑吧兄弟,http://43.138.170.29:35455/huya/29465870
赵本山小品,http://124.248.69.76:35455/douyu/9817716
赵本山小品,https://live.metshop.top/douyu/9817716
赵本山小品,http://43.138.170.29:35455/douyu/9817716
辽宁台小品,http://124.248.69.76:35455/douyu/9067836
辽宁台小品,https://live.metshop.top/douyu/9067836
辽宁台小品,http://43.138.170.29:35455/douyu/9067836
周杰伦MV,http://124.248.69.76:35455/douyu/7537296
周杰伦MV,https://live.metshop.top/douyu/7537296
周杰伦MV,http://43.138.170.29:35455/douyu/7537296
卓依婷新年MV,https://cloud.lxweb.cn/f/6MAeIw/%E5%8D%93%E4%BE%9D%E5%A9%B7%E6%96%B0%E5%B9%B4MV%E5%90%88%E9%9B%86.mp4
🎬电视轮播,#genre#
爱情公寓,http://124.248.69.76:35455/douyu/6566658
爱情公寓,https://live.metshop.top/douyu/6566658
爱情公寓,http://43.138.170.29:35455/douyu/6566658
爱情公寓,http://43.138.170.29:35455/huya/11336726
家有儿女,http://124.248.69.76:35455/douyu/11543347
家有儿女,https://live.metshop.top/douyu/11543347
武林外传,http://124.248.69.76:35455/yy/1353852605
武林外传,https://live.metshop.top/yy/1353852605
武林外传,https://live.metshop.top/yy/1394000563
龙门镖局,http://124.248.69.76:35455/douyu/9650860
龙门镖局,https://live.metshop.top/douyu/9650860
龙门镖局,https://live.metshop.top/douyu/527502
鹊刀门,http://124.248.69.76:35455/huya/11352963
鹊刀门,https://live.metshop.top/huya/11352963
鹊刀门,https://www.goodiptv.club/huya/11352963
鹊刀门,http://43.138.170.29:35455/huya/11352963
倚天屠龙记,http://124.248.69.76:35455/douyu/11686959
倚天屠龙记,https://live.metshop.top/douyu/11686959
倚天屠龙记,https://live.metshop.top/yy/1354755003
倚天屠龙记TVB,http://124.248.69.76:35455/douyu/11651489
倚天屠龙记TVB,https://live.metshop.top/douyu/11651489
倚天屠龙记TVB,http://43.138.170.29:35455/huya/23734246
天龙八部,http://124.248.69.76:35455/yy/28996058
天龙八部,https://live.metshop.top/yy/28996058
天龙八部,https://live.metshop.top/douyu/11784023
天龙八部,http://43.138.170.29:35455/huya/23903123
神雕侠侣,http://124.248.69.76:35455/yy/1382704651
神雕侠侣,https://live.metshop.top/yy/1382704651
神雕侠侣,http://43.138.170.29:35455/huya/23865171
新水浒传,http://124.248.69.76:35455/douyu/3758762
新水浒传,https://live.metshop.top/douyu/3758762
新水浒传,https://live.metshop.top/douyu/5635000
西游记,http://124.248.69.76:35455/douyu/8953746
西游记,https://live.metshop.top/douyu/8953746
封神榜TVB,http://124.248.69.76:35455/huya/23749096
封神榜TVB,http://43.138.170.29:35455/huya/23749096
封神榜TVB,http://124.248.69.76:35455/huya/29465849
封神榜TVB,http://43.138.170.29:35455/huya/29465849
封神榜TVB,http://124.248.69.76:35455/douyu/11624323
封神榜TVB,https://live.metshop.top/douyu/11624323
封神榜TVB,http://43.138.170.29:35455/douyu/11624323
神话,http://124.248.69.76:35455/douyu/5448413
神话,https://live.metshop.top/douyu/5448413
宝莲灯,http://124.248.69.76:35455/huya/21059563
宝莲灯,https://live.metshop.top/huya/21059563
宝莲灯,https://www.goodiptv.club/huya/21059563
宝莲灯,http://43.138.170.29:35455/huya/21059563
风云雄霸天下,http://124.248.69.76:35455/douyu/9290755
风云雄霸天下,https://live.metshop.top/douyu/9290755
寻秦记,http://124.248.69.76:35455/douyu/5061550
寻秦记,https://live.metshop.top/douyu/5061550
寻秦记,https://live.metshop.top/douyu/11646306
庆余年,http://124.248.69.76:35455/douyu/11873641
庆余年,https://live.metshop.top/douyu/11873641
庆余年,http://124.248.69.76:35455/douyu/11880121
庆余年,https://live.metshop.top/douyu/11880121
🎬动漫轮播,#genre#
名侦探柯南,http://124.248.69.76:35455/douyu/1487654
名侦探柯南,https://live.metshop.top/douyu/1487654
名侦探柯南,http://43.138.170.29:35455/douyu/1487654
茶啊二中,http://124.248.69.76:35455/douyu/2925610
茶啊二中,https://live.metshop.top/douyu/2925610
茶啊二中,http://43.138.170.29:35455/douyu/2925610
茶啊二中,http://43.138.170.29:35455/huya/11213191
海贼王,http://124.248.69.76:35455/huya/16913382
海贼王,https://live.metshop.top/huya/16913382
海贼王,https://www.goodiptv.club/huya/16913382
海贼王剧场版,http://124.248.69.76:35455/douyu/997925
海贼王剧场版,https://live.metshop.top/douyu/997925
海贼王剧场版,http://43.138.170.29:35455/douyu/997925
动漫花园,http://124.248.69.76:35455/douyu/426517
动漫花园,https://live.metshop.top/douyu/426517


http://124.248.69.76:35455/douyu/


🎬24年春晚合集,#genre#
2024年中央广播电视总台春节联欢晚会,https://v10.dious.cc/20240209/4AK9UB5p/index.m3u8
2024珠江春晚,https://v10.dious.cc/20240209/lNN6pUqq/index.m3u8
2024辽宁卫视春节联欢晚会“龙腾盛世中国年”上,https://v10.dious.cc/20240209/J95B9fT5/index.m3u8
2024辽宁卫视春节联欢晚会“龙腾盛世中国年”下,https://v10.dious.cc/20240209/HWVp60d1/index.m3u8
2024深圳春晚,https://v10.dious.cc/20240209/DKcsA9sZ/index.m3u8
2024安徽卫视春节联欢晚会,https://v10.dious.cc/20240208/LHLdSBLv/index.m3u8
2024吉林卫视春节联欢晚会,https://v10.dious.cc/20240208/9ahrnAPw/index.m3u8
2024山东春节联欢晚会,https://v10.dious.cc/20240208/mJvkOFpp/index.m3u8
2024河南春晚,https://v10.dious.cc/20240208/AN4hlNqo/index.m3u8
2024山西春晚,https://v10.dious.cc/20240208/85CjUOf8/index.m3u8
2024湖南卫视芒果TV春节联欢晚会,https://top.1080pzy.co/202402/04/MjEwstGXHa3/video/index.m3u8
2024春节藏历新年联欢晚会,https://top.1080pzy.co/202402/10/qA9fsajXD03/video/index.m3u8
2024川渝春节联欢晚会,https://top.1080pzy.co/202402/10/jBTNQuWPgZ3/video/index.m3u8
2024年北京电视台龙年春节联欢晚会,https://v10.dious.cc/20240210/Ll7WeunD/index.m3u8
2024湖北春晚,https://v10.dious.cc/20240210/pOo0DnPW/index.m3u8
2024年云南省春节文艺晚,https://v10.dious.cc/20240210/yOFfQfxj/index.m3u8
2024海南春节联欢会,https://v10.dious.cc/20240210/vaplHwkP/index.m3u8
2024陕西丝路春晚https://v10.dious.cc/20240210/yYlVw3Ur/index.m3u8
2024安徽农民春晚,https://v10.dious.cc/20240210/UnLrYixW/index.m3u8
2024中国杂技大联欢,https://v10.dious.cc/20240210/672HyyQ9/index.m3u8
2024粤港澳大湾区春节晚会,https://top.1080pzy.co/202402/11/8VQCAA76NZ3/video/index.m3u8
2024粤港澳大湾区特别节目,https://top.1080pzy.co/202402/11/xkWszjeRYG3/video/index.m3u8
2024江苏卫视龙年春节联欢晚会,https://top.1080pzy.co/202402/11/h1veKVuUdX3/video/index.m3u8
2024东方卫视春节晚会,https://top.1080pzy.co/202402/11/VWVyPyEiFX3/video/index.m3u8
2024天津卫视相声春晚,https://top.1080pzy.co/202402/11/wgYVqXxrEh3/video/index.m3u8
